"Name","ID","data.classes","epoch","seed","optimizer_name","training.early_epoch","training.max_epoch","val_accuracy","val_loss","Runtime","End Time"
"stellar-salad-757","5yvd9dsy","[""barn_spider"",""American_lobster"",""otterhound""]","54","4488","SGD","14","55","0.9254385828971864","0.21518218517303467","105","2025-10-28T23:33:27.000Z"
"fresh-plant-755","33sylmr7","[""necklace"",""barometer"",""tow_truck""]","70","6938","Adam","15","71","0.916323721408844","0.493991881608963","346","2025-10-28T23:29:33.000Z"
"laced-feather-754","v3zo1dip","[""sewing_machine"",""mud_turtle"",""ruddy_turnstone""]","79","9062","Adam","18","80","0.8959537744522095","0.6309211254119873","438","2025-10-28T23:23:46.000Z"
"divine-bush-753","xnr50hey","[""strawberry"",""tow_truck"",""police_van""]","33","6910","SGD","13","34","0.8310214281082153","0.6411828398704529","184","2025-10-28T23:16:27.000Z"
"lunar-frost-752","6uvxnjms","[""breakwater"",""paddle"",""carpenter's_kit""]","79","502","Adam","10","80","0.7765362858772278","2.069413185119629","378","2025-10-28T23:13:22.000Z"
"feasible-spaceship-751","o18y7y0j","[""Siamese_cat"",""tow_truck"",""sea_slug""]","49","7385","SGD","10","50","0.9256080389022828","0.35193634033203125","233","2025-10-28T23:07:03.000Z"
"fresh-blaze-750","ybkbbldk","[""chimpanzee"",""breakwater"",""ant""]","19","1028","Adam","18","20","0.9056179523468018","0.3604495227336883","135","2025-10-28T23:03:09.000Z"
"swift-snow-749","zcn77gji","[""necklace"",""trombone"",""dock""]","37","3840","SGD","12","38","0.8180645108222961","0.6027327179908752","196","2025-10-28T23:00:52.000Z"
"upbeat-galaxy-748","pnwjpp03","[""barn_spider"",""ruddy_turnstone"",""pick""]","34","8110","Adam","18","35","0.8682170510292053","0.5757742524147034","164","2025-10-28T22:57:35.000Z"
"gallant-feather-747","qdj8kxar","[""trombone"",""bolete"",""ant""]","50","5056","Adam","16","51","0.826310396194458","0.8964115977287292","319","2025-10-28T22:54:50.000Z"
