run_id,run_name,class1,class2,class3,artifact_name,val_loss
r2yhl0gl,peachy-sea-150,hare,beagle,spatula,gDjcw5X4jcmKLeXCjoNr2K_23.pth,0.9870893955230712
r2yhl0gl,peachy-sea-150,hare,beagle,spatula,gDjcw5X4jcmKLeXCjoNr2K_119.pth,0.8960960507392883
wl40lv3p,gentle-sun-151,rock_python,tennis_ball,car_wheel,h7gndwVbtBzCBBnC9qFxGV_19.pth,0.7819072604179382
wl40lv3p,gentle-sun-151,rock_python,tennis_ball,car_wheel,h7gndwVbtBzCBBnC9qFxGV_114.pth,0.8279593586921692
6kcf2rci,wandering-silence-152,american_staffordshire_terrier,model_t,rifle,dv83pLtnP2kMkJem5zpdAf_20.pth,0.0003080931783188
6kcf2rci,wandering-silence-152,american_staffordshire_terrier,model_t,rifle,dv83pLtnP2kMkJem5zpdAf_103.pth,1.4767593711439986e-05
lc1s4xi4,graceful-glitter-153,lotion,ladybug,red-backed_sandpiper,GfYTAyDfGPKusgyqBpzyBN_17.pth,0.7741835117340088
lc1s4xi4,graceful-glitter-153,lotion,ladybug,red-backed_sandpiper,GfYTAyDfGPKusgyqBpzyBN_102.pth,0.6585643291473389
j6hgrwvz,eager-wind-154,lens_cap,platypus,saltshaker,bosWacuEHdSfozncPTV5PK_20.pth,0.9360511898994446
j6hgrwvz,eager-wind-154,lens_cap,platypus,saltshaker,bosWacuEHdSfozncPTV5PK_82.pth,0.8783677220344543
13xxahfk,fluent-aardvark-155,web_site,book_jacket,jean,5QeXdQvKB33W5ebJmEzeuo_21.pth,0.2806674838066101
13xxahfk,fluent-aardvark-155,web_site,book_jacket,jean,5QeXdQvKB33W5ebJmEzeuo_77.pth,0.2430951744318008
oq7gpgwc,silvery-jazz-156,butcher_shop,cheetah,plate_rack,L3JVShSYd2DLP6FATJgnn6_14.pth,0.5456792712211609
oq7gpgwc,silvery-jazz-156,butcher_shop,cheetah,plate_rack,L3JVShSYd2DLP6FATJgnn6_102.pth,0.3294473886489868
egcsfpix,worthy-dew-157,lemon,macaw,apiary,E3LRDQpkxCDSgnSW8dYGH7_19.pth,0.8264914155006409
egcsfpix,worthy-dew-157,lemon,macaw,apiary,E3LRDQpkxCDSgnSW8dYGH7_87.pth,0.5639704465866089
fuztf15y,youthful-yogurt-158,vacuum,cock,tench,iqqr9WMok7aZMktY6ySJQw_21.pth,0.5582675337791443
fuztf15y,youthful-yogurt-158,vacuum,cock,tench,iqqr9WMok7aZMktY6ySJQw_99.pth,0.4657907783985138
59i9znjp,hopeful-salad-159,maze,stethoscope,banded_gecko,Ttb3cuasprQBDYqSPYLDqt_18.pth,0.4472304582595825
59i9znjp,hopeful-salad-159,maze,stethoscope,banded_gecko,Ttb3cuasprQBDYqSPYLDqt_91.pth,0.8912443518638611
