Name,ID,data.classes,seed,optimizer_name,epoch,training.early_epoch,training.max_epoch,val_accuracy,val_loss,calculated_mean,calculated_std,artifacts
mystical-treat-1212,9nzdt6bg,"[strawberry,trombone,mashed_potato]",878,SGD,30,12,31,0.8636363744735718,0.4869358539581299,"[0.5594295263290405, 0.44924619793891907, 0.3845631778240204]","[0.30568981170654297, 0.31594792008399963, 0.3213135004043579]","['Wd3sykj8swbYp54YX6xj9z_11.pth', 'Wd3sykj8swbYp54YX6xj9z_31.pth']"
scary-pitchfork-1211,o1f32puw,"[limpkin,ibizan_hound,cellular_telephone]",8529,Adam,56,19,57,0.8853333592414856,0.4950262308120727,"[0.4805455803871155, 0.4686438739299774, 0.40268078446388245]","[0.27712127566337585, 0.27280187606811523, 0.29010212421417236]","['QeyskQqhhzzrWvZrTXx3wa_18.pth', 'QeyskQqhhzzrWvZrTXx3wa_57.pth']"
unraveling-fang-1210,h8ju0w0i,"[carpenter's_kit,limpkin,barn_spider]",7916,Adam,41,19,42,0.8450000286102295,0.7021664381027222,"[0.4858304262161255, 0.47924697399139404, 0.41395220160484314]","[0.28300413489341736, 0.27788034081459045, 0.2960517406463623]","['2HDhNdy6GEJvYy4ZjgVyiH_18.pth', '2HDhNdy6GEJvYy4ZjgVyiH_42.pth']"
spooky-fog-1209,fka0d39u,"[police_van,necklace,maillot]",6863,Adam,32,16,33,0.901081919670105,0.5291898250579834,"[0.5343168377876282, 0.5124594569206238, 0.49162766337394714]","[0.293336421251297, 0.28902602195739746, 0.2978845238685608]","['78FWChmTzQExAhzsbhvqcf_15.pth', '78FWChmTzQExAhzsbhvqcf_33.pth']"
supernatural-abyss-1208,9u4bp2jo,"[trombone,chambered_nautilus,sewing_machine]",7892,SGD,59,15,60,0.7867803573608398,0.737532377243042,"[0.4982219338417053, 0.46133023500442505, 0.42917725443840027]","[0.3262281119823456, 0.32349368929862976, 0.32947126030921936]","['cNfXYmGmMpVCd9nRaifz95_14.pth', 'cNfXYmGmMpVCd9nRaifz95_60.pth']"
supernatural-wizard-1207,bxhzh5rb,"[mud_turtle,barn_spider,airedale]",6439,SGD,68,12,69,0.6493955254554749,1.7212364673614502,"[0.4682838022708893, 0.44366633892059326, 0.37250614166259766]","[0.260733038187027, 0.2504567503929138, 0.25592297315597534]","['FD4QNQAhZawgcFt26CtTax_11.pth', 'FD4QNQAhZawgcFt26CtTax_69.pth']"
muted-fog-1206,p3s6s572,"[soft-coated_wheaten_terrier,canoe,tow_truck]",7869,SGD,63,15,64,0.8352059721946716,0.5781691074371338,"[0.4799369275569916, 0.46874961256980896, 0.4332837760448456]","[0.26284855604171753, 0.2568446695804596, 0.27257758378982544]","['BAkyC4ChkqzKsJ9gUtGxZJ_14.pth', 'BAkyC4ChkqzKsJ9gUtGxZJ_64.pth']"
paranormal-labyrinth-1205,uv06o06l,"[running_shoe,vizsla,tow_truck]",1016,SGD,75,13,76,0.8151016235351562,0.7131455540657043,"[0.50126051902771, 0.468034952878952, 0.41567346453666687]","[0.2695992887020111, 0.2676461637020111, 0.2846331298351288]","['jdo6sZJn2zbsdJphC7zAMP_12.pth', 'jdo6sZJn2zbsdJphC7zAMP_76.pth']"
frightful-spirit-1204,3i1xj7c4,"[tow_truck,bolete,angora]",9467,SGD,32,13,33,0.8954081535339355,0.4170238077640533,"[0.4593786895275116, 0.4336436688899994, 0.37938985228538513]","[0.26715102791786194, 0.26146432757377625, 0.27406054735183716]","['a7VQ5jVRKvNQpPvdqoK56e_12.pth', 'a7VQ5jVRKvNQpPvdqoK56e_33.pth']"
creepy-glimpse-1203,sp44hfx0,"[vizsla,lesser_panda,sea_slug]",7629,SGD,37,18,38,0.8219727277755737,0.6159053444862366,"[0.45515522360801697, 0.41449666023254395, 0.3323087692260742]","[0.2603064477443695, 0.2473512887954712, 0.2470463216304779]","['JSJkQKizxhwrFVpPtz3b3h_17.pth', 'JSJkQKizxhwrFVpPtz3b3h_38.pth']"
