run_id,run_name,class1,class2,class3,early_epoch,max_epoch,val_loss,weights,downloaded_artifacts,early_epoch_val_loss
12755l05,crimson-glitter-137,long-horned_beetle,ibizan_hound,hamster,22,100,0.3549388945102691,"jBbUvF2NNC2y2cH6iaCmvi_21.pth, jBbUvF2NNC2y2cH6iaCmvi_100.pth",,0.36926597356796265
2fhbz7zf,easy-snowball-138,cock,mask,howler_monkey,15,113,0.9415611028671264,"CUFwHQhSPamb7DSLqVC95R_14.pth, CUFwHQhSPamb7DSLqVC95R_113.pth",,0.6316141486167908
0rxa82ki,unique-armadillo-139,web_site,maillot,red_wine,15,115,0.3502756953239441,"M2xgq77mmDYg3mj3zLgnY3_14.pth, M2xgq77mmDYg3mj3zLgnY3_115.pth",,0.5420124530792236
cz802y4r,pleasant-puddle-140,swimming_trunks,typewriter_keyboard,bib,16,85,0.7576537132263184,"NSiBkj3qDqFGax3AyQB5Vo_15.pth, NSiBkj3qDqFGax3AyQB5Vo_85.pth",,0.7460153698921204
4zqemsgf,faithful-plant-141,kit_fox,rock_crab,buckeye,16,120,1.285802125930786,"iqkwLbPysQAUK4PZwVFmvV_15.pth, iqkwLbPysQAUK4PZwVFmvV_120.pth",,1.1158162355422974
pp15lgeu,daily-plant-142,tailed_frog,whippet,appenzeller,20,113,1.464863419532776,"4S9fZJEzmB9wLQA3haYFqf_19.pth, 4S9fZJEzmB9wLQA3haYFqf_113.pth",,0.6771297454833984
bbc7en74,misunderstood-planet-143,saltshaker,plane,burrito,21,90,0.8537994027137756,"Po4Y99KMBtAWxFcu3CR5Dg_20.pth, Po4Y99KMBtAWxFcu3CR5Dg_90.pth",,0.674535870552063
r87w6rhe,charmed-microwave-144,mosquito_net,chain,dining_table,19,104,0.6736103296279907,"jergcm46KH7pmCTDdBzd6B_18.pth, jergcm46KH7pmCTDdBzd6B_104.pth",,0.931126594543457
5suilr51,hearty-cherry-145,aircraft_carrier,newfoundland,submarine,15,103,1.124933838844299,"7vVYG6jA4MyRDmWxzpnBEf_14.pth, 7vVYG6jA4MyRDmWxzpnBEf_103.pth",,0.6928701996803284
slu8okzc,denim-night-146,burrito,hair_slide,tennis_ball,15,100,0.8197913765907288,"dnAefztxJnTkmBEFiy6Vm6_14.pth, dnAefztxJnTkmBEFiy6Vm6_100.pth",,0.638556957244873
mpnp3drd,swept-energy-147,ram,norfolk_terrier,handkerchief,17,113,5.746989727020264,"oNFGxodZu4jt7Mx8AEdMtL_16.pth, oNFGxodZu4jt7Mx8AEdMtL_113.pth",,0.7455334663391113
z9bcuy44,ruby-smoke-148,axolotl,cardigan,west_highland_white_terrier,16,121,0.5505278706550598,"Xv77ecY2gmNYEJ3Dc64gBF_15.pth, Xv77ecY2gmNYEJ3Dc64gBF_121.pth",,0.28451088070869446
ai5jyb6c,dazzling-donkey-149,bottlecap,lighter,bathing_cap,19,100,2.508809804916382,"oR2w93iaibz99fkYLhKFL6_18.pth, oR2w93iaibz99fkYLhKFL6_100.pth",,1.5456087589263916
r2yhl0gl,peachy-sea-150,hare,beagle,spatula,24,119,0.8960960507392883,"gDjcw5X4jcmKLeXCjoNr2K_23.pth, gDjcw5X4jcmKLeXCjoNr2K_119.pth",,0.9870893955230713
wl40lv3p,gentle-sun-151,rock_python,tennis_ball,car_wheel,20,114,0.8279593586921692,"h7gndwVbtBzCBBnC9qFxGV_19.pth, h7gndwVbtBzCBBnC9qFxGV_114.pth",,0.7819072604179382
6kcf2rci,wandering-silence-152,american_staffordshire_terrier,model_t,rifle,21,103,1.4767593711439986e-05,"dv83pLtnP2kMkJem5zpdAf_20.pth, dv83pLtnP2kMkJem5zpdAf_103.pth",,0.00030809317831881344
lc1s4xi4,graceful-glitter-153,lotion,ladybug,red-backed_sandpiper,18,102,0.6585643291473389,"GfYTAyDfGPKusgyqBpzyBN_17.pth, GfYTAyDfGPKusgyqBpzyBN_102.pth",,0.7741835117340088
j6hgrwvz,eager-wind-154,lens_cap,platypus,saltshaker,21,82,0.8783677220344543,"bosWacuEHdSfozncPTV5PK_20.pth, bosWacuEHdSfozncPTV5PK_82.pth",,0.9360511898994446
13xxahfk,fluent-aardvark-155,web_site,book_jacket,jean,22,77,0.2430951744318008,"5QeXdQvKB33W5ebJmEzeuo_21.pth, 5QeXdQvKB33W5ebJmEzeuo_77.pth",,0.2806674838066101
oq7gpgwc,silvery-jazz-156,butcher_shop,cheetah,plate_rack,15,102,0.3294473886489868,"L3JVShSYd2DLP6FATJgnn6_14.pth, L3JVShSYd2DLP6FATJgnn6_102.pth",,0.5456792712211609
egcsfpix,worthy-dew-157,lemon,macaw,apiary,20,87,0.5639704465866089,"E3LRDQpkxCDSgnSW8dYGH7_19.pth, E3LRDQpkxCDSgnSW8dYGH7_87.pth",,0.8264914155006409
fuztf15y,youthful-yogurt-158,vacuum,cock,tench,22,99,0.4657907783985138,"iqqr9WMok7aZMktY6ySJQw_21.pth, iqqr9WMok7aZMktY6ySJQw_99.pth",,0.5582675337791443
59i9znjp,hopeful-salad-159,maze,stethoscope,banded_gecko,19,91,0.8912443518638611,"Ttb3cuasprQBDYqSPYLDqt_18.pth, Ttb3cuasprQBDYqSPYLDqt_91.pth",,0.4472304582595825
